gene,mean,median,max,count
SNAPC2,2.7389702771666666,0.19587533499999998,15.47315,6
NEFL,8.172917857666667,9.588235373,14.91216675,3
MAGEA2,2.4687070657777777,0.571595,14.8586,9
GAL,7.37775,7.37775,14.7555,2
ID4,7.313675,7.313675,14.62735,2
POU4F1,14.62055728,14.62055728,14.62055728,1
CYFIP2,0.9454664663600001,0.0543595,14.12440038,25
SLAIN1,2.2035200005035294,8.56e-09,14.00165,17
SOX4,13.96513688,13.96513688,13.96513688,1
NUP210,3.4989114194999997,0.090607894,13.75167739,4
CHCHD10,2.8923522262000003,0.217529,13.73966045,10
RPP21,0.3351116305873016,0.0,13.6158,63
PPP1R14C,13.24132108,13.24132108,13.24132108,1
YWHAE,1.3730850227692306,0.373389484,12.946446,26
CADM1,0.93463011156,0.0,12.9195,25
CDKL1,1.5436898392727272,0.136055643,12.70105,11
PTPRU,2.0683681926363637,0.4636735,12.47895,11
REXO2,0.8271013148499999,0.20621925800000002,12.42262145,20
SULF2,1.56484385,0.6141915,12.17805,12
NELL2,0.9338630595499999,0.0962345,12.12925,20
DSC3,7.9960860946666665,6.839543154,12.12586513,3
NUDT11,12.01028545,12.01028545,12.01028545,1
TRIM26,0.2530609401457143,0.0,11.551,70
CCND2,2.968424565,0.220947,11.32716876,4
NPTX1,3.4734116655,1.309498331,11.27465,4
ZIC2,2.707732449,1.036557847,11.270799,6
FOXC1,11.26497865,11.26497865,11.26497865,1
TCF19,0.9001404941818181,0.0,11.26475,22
DSC2,5.852800764,5.852800764,11.13875,2
IGFBP2,3.7839461768,1.192355,11.1176,5
CA8,4.42816240375,3.3548627325,10.9877,4
PPT2,0.17312888444923577,5.64e-10,10.976,123
ID2,4.2464039614999995,2.949172538,10.96409447,4
FAM60A,2.1832362344,0.5626887225,10.83655,10
FOXF2,10.78345,10.78345,10.78345,1
EIF4A1,1.1104348254054053,0.83673,10.76235,37
HES1,6.149744802,6.149744802,10.75987977,2
GTF2H4,0.611617590138889,0.10598235750000001,10.75145,36
SS18,0.6664505199999999,0.12215254450000002,10.7066,26
PYCR1,1.1844252115882354,0.447607,10.58305676,17
EFHD1,1.8267813499999999,0.1054135,10.52482095,7
SKA2,1.8460689102,1.033788569,10.47507312,10
